[INFO] [1785743695.989848474] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.5s)
[INFO] [1785743700.989970809] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.8s)
[INFO] [1785743702.250916359] [trajectory_predictor]: [Pred HOLD OFF] Tay di chuyển (dev=30.9mm). Thả hold.
[INFO] [1785743703.989907674] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785743763.989417728] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.0s)
[INFO] [1785743767.850062943] [trajectory_predictor]: [Predictor] Auto-disabled prediction mode via /trajectory_mode
[INFO] [1785743778.989797998] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785743787.989714044] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785743790.989380088] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.5s)
[INFO] [1785743795.989380024] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785743800.989371071] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.5s)
[INFO] [1785743866.989968195] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785743869.989865530] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.4s)
[INFO] [1785743873.989851575] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785743880.989655388] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 2.0s)
[INFO] [1785743884.989818333] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.8s)
[INFO] [1785743890.989661931] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.5s)
[INFO] [1785743892.989889960] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785743895.989346069] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.4s)
[INFO] [1785743898.989908602] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
