[INFO] [1785741124.692074033] [cartesian_streamer]: CartesianStreamer khởi động (chờ Enable Robot từ UI).
  Stream rate:       15 Hz (period=66.7ms)
  Queue dt:          0.067 s
  Prebuffer points:  3
  Retry backoff:     66.0 ms
  Gửi PoseStamped lên: /cartesian_streamer/target_pose
  Gửi XYZ lên:        /cartesian_streamer/target_xyz
  Nhận EE pose tại:   /cartesian_streamer/current_pose
[INFO] [1785741125.174174174] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741127.674454861] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741129.674664528] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741132.174223735] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741134.174766809] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741136.674442181] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741138.674857208] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741141.174948475] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741143.175077955] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741145.674893080] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741148.174554072] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741150.174966054] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741152.674723089] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741154.674903284] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741157.174176591] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741159.175330128] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741161.674561407] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741164.174795046] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741166.674665342] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741168.674750598] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741171.174673610] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741173.674848633] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741175.674900791] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741178.174701033] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741180.174833899] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741182.674020420] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741184.674742382] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741186.674940550] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741189.174506904] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741191.174715154] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741193.673522607] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741195.673708252] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741197.674810190] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741199.675420122] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741202.175120708] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741204.674990025] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741207.175109728] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741209.674782395] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741211.675354508] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741213.675931815] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741216.174287582] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741218.174911859] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741220.175240540] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741222.674082358] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741225.173946977] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741227.175128846] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741229.175204598] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741231.674811000] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741234.175359216] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741236.175413821] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741238.674641004] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741240.674938556] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741242.675103015] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741244.675489307] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741247.175000046] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741249.674973396] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741252.174912036] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741254.174957814] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741256.675000844] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741258.675689890] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741261.174323572] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741263.174813435] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741265.674138951] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741267.675426513] [cartesian_streamer]: Chờ /joint_states...
[INFO] [1785741270.174074289] [cartesian_streamer]: Chờ /joint_states...
