Trajectory,MAE_Total_X,MAE_Total_Y,MAE_Total_Z,MAE_FOLLOWER_X,MAE_FOLLOWER_Y,MAE_FOLLOWER_Z,MAE_LEADER_X,MAE_LEADER_Y,MAE_LEADER_Z,Avg_Inference_Time_FOLLOWER_ms
experiment_SVGP+MJM_20260814_162146.csv,0.01917353088450753,0.046218893946918735,0.006825224543484816,0.003663550785441433,0.02506362664147625,0.005155347223336727,0.04545168880258603,0.08124896670810235,0.010193955619109938,27.930617283950617
experiment_SVGP+MJM_20260814_161631.csv,0.041601335072126246,0.04747073924965574,0.03563877103605094,0.005752227289907185,0.038726746513906375,0.00882447332226009,0.07460448419492134,0.05405834160375728,0.06088931006571487,29.665584415584416
experiment_SVGP+MJM_20260814_161131.csv,0.03004407950067059,0.03770728204224566,0.007060472134504958,0.003823275963460173,0.01782154179767458,0.003742331345083119,0.0662148294849734,0.06440222849443554,0.011714934294735219,28.772151162790696
experiment_SVGP+MJM_20260814_161842.csv,0.026016882987924508,0.029155124554785198,0.01807117776890649,0.0023669855630170135,0.019690627946715673,0.003148727895273472,0.05646467013912336,0.04038318440424694,0.03732116187192222,28.98343195266272
experiment_SVGP+MJM_20260814_162556.csv,0.028579496980204493,0.041246804914282724,0.018095019844170765,0.006038339254629212,0.02192473801480502,0.006159021295049066,0.06293871850385248,0.06318796522284778,0.03709619156153352,30.048692810457514
experiment_SVGP+MJM_20260814_161237.csv,0.035436503315289886,0.027740744410431926,0.010286139312598003,0.003175748216217653,0.020798613606941397,0.004679709505907548,0.07551554111370877,0.036302973399887514,0.01735889498237661,28.933272727272726
experiment_SVGP+MJM_20260814_162410.csv,0.055120997889567765,0.045924571017126894,0.04536814681440444,0.009604622162655995,0.0362697055146055,0.011231698319974346,0.09745025732124643,0.056978273442678,0.07764023072928235,27.5462676056338
experiment_SVGP+MJM_20260814_161956.csv,0.03014539494697261,0.02621626410142886,0.0251444069056703,0.00388351897492481,0.020278948408989313,0.004936666140596075,0.06447627465971952,0.03333784727693525,0.05160896622964171,28.737777777777776
experiment_SVGP+MJM_20260814_161357.csv,0.024686911773794225,0.028196322119536397,0.0064960800963435065,0.0015938820251628055,0.014107900193826151,0.003237145173706635,0.05825895172238417,0.04654511005264951,0.0114857395101208,28.5640625
experiment_SVGP+MJM_20260814_162047.csv,0.035123441437039646,0.04718748926156084,0.030030866084516255,0.004182528428515526,0.03216134109455407,0.007360364877660427,0.06421421936081143,0.06135506391490158,0.05148230575922806,29.546050955414017
