name,model_type,num_layers,total_params,test_loss,test_mae,train_loss,val_loss,val_mae,training_time_s,inference_time_ms,model_size_mb
RNN,rnn,5,149251,0.00028191294404678047,0.010521517135202885,0.000650449946988374,0.00023775735462550074,0.00989158358424902,835.9917786121368,1.5408413410186768,1.77581787109375
LSTM,lstm,5,595843,0.0002595885598566383,0.009995133616030216,0.0005975370295345783,0.00024283934908453375,0.009809959679841995,1133.854412317276,0.5715634822845459,6.8876953125
GRU,gru,5,448899,0.00025857752189040184,0.010094096884131432,0.0006044790497981012,0.00024148341617546976,0.009823122061789036,1112.6449751853943,0.7004101276397705,5.204093933105469
